region_complete,lat,long
Bolgheri  ,43.233910,10.616000
Alicante  ,38.344100,-0.480430
Palette  ,43.508910,5.492070
McLaren Vale-Padthaway  ,-36.601120,140.492890
Chianti Colli Pisani  ,-27.775540,-50.302570
Strathbogie Ranges  ,-36.900000,145.750000
Vin de Pays de France  ,43.313440,-0.546840
Wrattonbully  ,-37.168890,140.943720
Bourgogne Vézelay  ,47.463220,3.741920
Napa County-Sonoma County Napa-Sonoma,38.528618,-122.887397
Galluccio  ,41.352150,13.953380
Pouilly-Vinzelles  ,46.279034,4.782399
Famatina Valley  ,32.843960,-85.180930
San Luis Obispo-Sonoma-Monterey California Other,35.283394,-120.658056
Guenoc Valley Mendocino/Lake Counties,32.843960,-85.180930
Coteaux d'Aix-en-Provence  ,43.526380,5.446140
Colli Euganei  ,45.312990,11.674090
Calchaquí Valley  ,-26.000000,-66.000000
Vino Nobile di Montepulciano  ,43.082470,11.780190
Valpolicella Superiore  ,45.548040,10.937060
Valdadige  ,33.888110,35.519350
Savoie  ,45.477614,6.442762
Mount Harlan Central Coast,-33.448202,151.385254
Corbières-Boutenac  ,43.148576,2.793963
Dry Creek Valley Sonoma,30.333330,-110.550000
Irpinia  ,41.000000,15.000000
Corton  ,51.163080,-2.094870
Vin de Pays du Comté Tolosan  ,43.571577,1.443362
Adelaide Plains  ,40.816570,-117.525680
Hautes Cotes de Beaune  ,47.019240,4.835540
Coteaux Varois en Provence  ,18.438330,-72.844440
Civitella d'Agliano  ,42.605810,12.187800
Lambrusco Grasparossa di Castelvetro  ,46.163460,10.045540
Mâcon-Vergisson  ,46.309240,4.716400
La Consulta  ,-33.733650,-69.124210
Rosazzo  ,46.008610,13.421390
Vin Santo del Chianti  ,43.095590,-89.510971
Barbera d'Asti Superiore  ,39.970164,-105.134600
Côtes de Thongue  ,58.476650,-4.418340
Côtes de Bordeaux Francs  ,44.774670,-0.410690
Clos de Vougeot  ,46.490510,2.463140
Montilla-Moriles  ,37.422376,-6.141604
Etna  ,40.501720,-79.945290
Alta Valle della Greve  ,46.251809,7.594177
Langhorne Creek  ,-35.312180,139.128640
Central Ranges  ,17.366670,-62.783330
Margaret River  ,-33.953220,115.073470
Alexander Valley Sonoma,38.656970,-122.794380
Reuilly  ,47.085110,2.040870
Montrachet  ,32.416960,-90.111070
Ribera del Queiles  ,40.426610,-3.688280
Rueda  ,41.411020,-4.959750
Templeton Gap District Central Coast,52.166380,-127.003230
San Antonio Valley Central Coast,29.428395,-98.640620
Rivesaltes Rosé  ,42.770720,2.874000
Vino de la Tierra de Castilla y León  ,41.667250,-4.714030
Cigales  ,41.757920,-4.696050
Tuscany  ,43.450830,11.126187
Columbia Gorge (WA) Washington Other,45.650000,-121.200000
Currency Creek  ,-35.453490,138.761670
Vin de France  ,43.517340,0.985860
Alghero  ,40.558080,8.318630
Criots-Bâtard-Montrachet  ,32.416960,-90.111070
Fitou  ,42.894680,2.983130
Mendocino County Mendocino/Lake Counties,39.307620,-123.798920
Umbria  ,42.963335,12.495426
Tumbarumba  ,-35.777390,148.012480
Beaumes-de-Venise  ,44.121570,5.028650
Alicante-Marina Alta  ,38.790175,0.162640
Griotte-Chambertin  ,46.309110,3.468850
Bardolino Superiore  ,46.721630,-92.103950
Monterey County Central Coast,36.608944,-121.847738
Chapelle-Chambertin  ,43.202282,3.078304
Orcia  ,42.966670,11.350000
Chianti Montespertoli  ,43.644690,11.079460
North Fork of Long Island Long Island,23.153320,-75.086540
Canon-Fronsac  ,44.924130,-0.272820
Idaho  ,44.388995,-114.659447
Minervois La Liviniere  ,43.304791,2.660112
Salice Salentino  ,40.384790,17.966070
Beaujolais-Villages  ,37.282481,-121.750670
Walla Walla Valley (OR) Oregon Other,42.472492,-121.432781
Lake Chelan Columbia Valley,47.847433,-119.968857
Muscadet Sèvre et Maine  ,46.316419,-0.542394
Puisseguin Saint-Émilion  ,44.890070,-0.154730
Bergerac Sec  ,44.852220,0.485730
Sangiovese di Romagna  ,41.537640,2.443590
Pays d'Oc  ,43.604780,1.454080
Coteaux Bourguignons  ,48.132480,4.358840
El Dorado County Sierra Foothills,38.664246,-120.912520
Soave Classico Superiore  ,46.721630,-92.103950
Mâcon La Roche Vineuse  ,46.338350,4.726702
Perdriel  ,-33.075760,-68.885430
Sta. Rita Hills Central Coast,-25.373000,-57.472050
Bellarine Peninsula  ,-38.173920,144.406070
Orvieto Classico Superiore  ,42.717350,12.104580
Isonzo del Friuli  ,45.929599,13.531015
Spain  ,40.227950,-3.646063
Montepulciano d'Abruzzo  ,43.129372,11.827788
Cortona  ,43.273320,11.987990
San Gimignano  ,43.467070,11.040430
Saint-Georges-Saint-Émilion  ,44.885440,-0.156900
Côtes du Lot  ,44.689050,1.914300
Southeastern New England  ,41.639784,-70.925897
Latricières-Chambertin  ,46.309110,3.468850
Mendocino-Sonoma-Amador California Other,39.307620,-123.798920
Beaujolais Rosé  ,46.304540,4.839550
Côtes Catalanes  ,42.666240,2.916810
Vin de Pays des Coteaux de L'Ardeche  ,44.523674,4.305059
Adelaide Hills  ,-34.911180,138.707350
Bâtard-Montrachet  ,32.416960,-90.111070
Saint-Amour  ,46.435230,5.345000
Cadillac Côtes de Bordeaux  ,42.069577,-104.964189
Verdicchio dei Castelli di Jesi Classico Superiore  ,-25.946790,-60.619470
Mediterranée  ,49.873500,8.832360
Friuli  ,46.075280,13.079720
Périgord  ,45.000000,0.500000
Côtes du Luberon  ,57.157590,65.535840
Sant'Antimo  ,40.943010,14.237540
Bardolino Chiaretto  ,-23.432950,-45.070080
Colli Tortonesi  ,42.355160,14.240400
Chaume  ,47.312900,3.027890
Burgundy  ,-33.897300,18.686260
Mâcon-Chardonnay  ,46.302461,4.817289
Tierra Manchuela  ,39.520490,-1.169260
Mâcon  ,32.839940,-83.628020
Valencia  ,39.468940,-0.376860
Barossa-Adelaide Hills  ,-34.911180,138.707350
Savuto  ,39.071910,16.165170
Garda  ,45.572980,10.710390
Rosé de Loire  ,45.490830,4.578920
Aglianico del Taburno  ,41.075330,14.617220
Ile de Beauté  ,5.308670,-4.006040
Clare Valley-Eden Valley  ,36.274950,-115.065290
Rutherford Napa,38.460230,-122.420230
Valpolicella Superiore Ripasso  ,45.548040,10.937060
Chehalem Mountains Willamette Valley,44.638550,-123.082660
Lirac  ,44.037250,4.691170
Valpolicella Ripasso Valpantena  ,45.548040,10.937060
Erice  ,38.029450,12.539100
Santa Barbara County Central Coast,34.888061,-120.380581
Lamezia  ,51.208060,4.389710
Valpolicella Ripasso Valpantena Superiore  ,46.721630,-92.103950
Colli di Salerno  ,33.054369,-96.784026
Corton-Rognet  ,45.795980,3.548610
Breganze  ,45.705900,11.565120
